behavior_id,tactic_id,relationship
SB035,TA0042,FEND_OFF
SB035,TA0001,FEND_OFF
SB035,TA0002,FEND_OFF
SB035,TA0003,FEND_OFF
SB035,TA0004,FEND_OFF
SB035,TA0005,FEND_OFF
SB035,TA0006,FEND_OFF
SB035,TA0007,FEND_OFF
SB035,TA0008,FEND_OFF
SB035,TA0009,FEND_OFF
SB035,TA0011,FEND_OFF
SB035,TA0010,FEND_OFF
SB035,TA0040,FEND_OFF
SB036,TA0042,FEND_OFF
SB036,TA0001,FEND_OFF
SB036,TA0002,FEND_OFF
SB036,TA0003,FEND_OFF
SB036,TA0004,FEND_OFF
SB036,TA0005,FEND_OFF
SB036,TA0006,FEND_OFF
SB036,TA0007,FEND_OFF
SB036,TA0008,FEND_OFF
SB036,TA0009,FEND_OFF
SB036,TA0011,FEND_OFF
SB036,TA0010,FEND_OFF
SB036,TA0040,FEND_OFF
SB038,TA0043,FEND_OFF
SB038,TA0042,FEND_OFF
SB038,TA0001,FEND_OFF
SB038,TA0002,FEND_OFF
SB038,TA0003,FEND_OFF
SB038,TA0004,FEND_OFF
SB038,TA0005,FEND_OFF
SB038,TA0006,FEND_OFF
SB038,TA0007,FEND_OFF
SB038,TA0008,FEND_OFF
SB038,TA0009,FEND_OFF
SB038,TA0011,FEND_OFF
SB038,TA0010,FEND_OFF
SB038,TA0040,FEND_OFF
SB039,TA0043,FEND_OFF
SB039,TA0001,FEND_OFF
SB039,TA0006,FEND_OFF
SB039,TA0008,FEND_OFF
SB039,TA0011,FEND_OFF
SB039,TA0010,FEND_OFF
SB040,TA0043,FEND_OFF
SB040,TA0001,FEND_OFF
SB040,TA0006,FEND_OFF
SB040,TA0009,FEND_OFF
SB040,TA0010,FEND_OFF
SB042,TA0043,FEND_OFF
SB042,TA0001,FEND_OFF
SB042,TA0002,FEND_OFF
SB042,TA0006,FEND_OFF
SB042,TA0009,FEND_OFF
SB042,TA0010,FEND_OFF
SB043,TA0043,FEND_OFF
SB043,TA0001,FEND_OFF
SB043,TA0006,FEND_OFF
SB043,TA0009,FEND_OFF
SB043,TA0010,FEND_OFF
SB044,TA0042,FEND_OFF
SB044,TA0006,FEND_OFF
SB044,TA0007,FEND_OFF
SB044,TA0009,FEND_OFF
SB044,TA0010,FEND_OFF
SB044,TA0040,FEND_OFF
SB045,TA0003,FEND_OFF
SB045,TA0004,FEND_OFF
SB045,TA0005,FEND_OFF
SB045,TA0007,FEND_OFF
SB045,TA0008,FEND_OFF
SB045,TA0009,FEND_OFF
SB045,TA0010,FEND_OFF
SB045,TA0040,FEND_OFF
SB046,TA0042,FEND_OFF
SB046,TA0001,FEND_OFF
SB046,TA0006,FEND_OFF
SB046,TA0007,FEND_OFF
SB046,TA0008,FEND_OFF
SB046,TA0009,FEND_OFF
SB046,TA0010,FEND_OFF
SB046,TA0040,FEND_OFF
SB050,TA0043,FEND_OFF
SB050,TA0001,FEND_OFF
SB050,TA0006,FEND_OFF
SB050,TA0007,FEND_OFF
SB050,TA0009,FEND_OFF
SB050,TA0010,FEND_OFF
SB050,TA0040,FEND_OFF
SB051,TA0007,FEND_OFF
SB051,TA0009,FEND_OFF
SB051,TA0010,FEND_OFF
SB051,TA0040,FEND_OFF
SB052,TA0042,FEND_OFF
